Mode,Episode,Warm Start,Advice Count,Advice Consumed,Governance Blocks,Real Sim Calls,Step to Feasible,Repeated Failures,Retrieved Episodes,Retrieval Precision
no_memory,0,False,0,0,0,3,0,2,0,0.0
no_memory,1,False,0,0,0,3,0,3,0,0.0
no_memory,2,False,0,0,0,3,0,3,0,0.0
no_memory,3,False,0,0,0,3,0,3,0,0.0
no_memory,4,False,0,0,0,3,0,3,0,0.0
no_memory,5,False,0,0,0,3,0,3,0,0.0
no_memory,6,False,0,0,0,3,0,3,0,0.0
no_memory,7,False,0,0,0,3,0,3,0,0.0
no_memory,8,False,0,0,0,3,0,3,0,0.0
no_memory,9,False,0,0,0,3,0,3,0,0.0
episodic_retrieval_only,0,False,0,0,0,3,0,2,0,0.0
episodic_retrieval_only,1,True,6,0,0,2,0,2,1,0.9
episodic_retrieval_only,2,True,21,0,0,2,0,2,2,0.9
episodic_retrieval_only,3,True,24,0,0,2,0,2,3,0.9
episodic_retrieval_only,4,True,27,0,0,2,0,2,4,0.9
episodic_retrieval_only,5,True,30,0,0,2,0,2,5,0.9
episodic_retrieval_only,6,True,30,0,0,2,0,2,5,0.9
episodic_retrieval_only,7,True,30,0,0,2,0,2,5,0.9
episodic_retrieval_only,8,True,30,0,0,2,0,2,5,0.9
episodic_retrieval_only,9,True,30,0,0,2,0,2,5,0.9
episodic_plus_reflection,0,False,0,0,0,3,0,2,0,0.0
episodic_plus_reflection,1,True,6,1,0,2,0,2,1,0.9
episodic_plus_reflection,2,True,21,1,0,2,0,2,2,0.9
episodic_plus_reflection,3,True,24,1,0,2,0,2,3,0.9
episodic_plus_reflection,4,True,27,1,0,2,0,2,4,0.9
episodic_plus_reflection,5,True,30,1,0,2,0,2,5,0.9
episodic_plus_reflection,6,True,30,1,0,2,0,2,5,0.9
episodic_plus_reflection,7,True,30,1,0,2,0,2,5,0.9
episodic_plus_reflection,8,True,30,1,0,2,0,2,5,0.9
episodic_plus_reflection,9,True,30,1,0,2,0,2,5,0.9
full_memory,0,False,0,0,0,3,0,2,0,0.0
full_memory,1,True,6,2,0,2,na,1,1,0.9
full_memory,2,True,21,2,0,2,na,2,2,0.9
full_memory,3,True,24,2,0,2,0,1,3,0.9
full_memory,4,True,27,2,0,2,na,2,4,0.9
full_memory,5,True,30,2,0,2,na,2,5,0.9
full_memory,6,True,30,2,0,2,0,1,5,0.9
full_memory,7,True,30,2,0,2,na,2,5,0.9
full_memory,8,True,30,2,0,2,na,2,5,0.9
full_memory,9,True,30,2,0,2,na,2,5,0.9
