Mode,Episode,Warm Start,Real Sim Calls,Step to Feasible,Repeated Failures,Retrieved Episodes,Advice Count,Advice Consumed,Governance Blocks,Negative Transfer Risk,Harmful Transfer
no_memory,0,False,3,na,2,0,0,0,0,0.0,False
no_memory,1,False,3,na,3,0,0,0,0,0.0,False
no_memory,2,False,3,na,3,0,0,0,0,0.0,False
no_memory,3,False,3,na,3,0,0,0,0,0.0,False
governed_transfer,0,False,3,na,2,4,15,0,1,0.5934,False
governed_transfer,1,False,3,na,3,4,15,0,1,0.5934,False
governed_transfer,2,False,3,na,3,4,15,0,1,0.5934,False
governed_transfer,3,False,3,na,3,4,15,0,1,0.5934,False
no_governance,0,True,2,na,1,4,15,1,0,0.5934,True
no_governance,1,True,2,na,2,4,15,1,0,0.5934,True
no_governance,2,True,2,na,2,4,15,1,0,0.5934,True
no_governance,3,True,2,na,2,4,15,1,0,0.5934,True
forced_transfer,0,True,3,na,2,1,1,1,0,0.85,True
forced_transfer,1,True,3,na,3,1,1,1,0,0.85,True
forced_transfer,2,True,3,na,3,1,1,1,0,0.85,True
forced_transfer,3,True,3,na,3,1,1,1,0,0.85,True
