Mode,Episode,Warm Start,Real Sim Calls,Step to Feasible,Repeated Failures,Retrieved Episodes,Advice Count,Advice Consumed,Governance Blocks,Negative Transfer Risk,Harmful Transfer,Wrong-Family Retrieval,Harmful Advice Applied,Cross-Task Failure After Retrieval,Advice Aligned
no_memory,0,False,3,0,2,0,0,0,0,0.0,False,False,False,False,False
no_memory,1,False,3,0,3,0,0,0,0,0.0,False,False,False,False,False
no_memory,2,False,3,0,3,0,0,0,0,0.0,False,False,False,False,False
no_memory,3,False,3,0,3,0,0,0,0,0.0,False,False,False,False,False
governed_transfer,0,True,2,0,1,4,15,1,0,0.5366,False,False,False,False,False
governed_transfer,1,True,2,0,2,4,15,1,0,0.5366,False,False,False,False,False
governed_transfer,2,True,2,0,2,4,15,1,0,0.5366,False,False,False,False,False
governed_transfer,3,True,2,0,2,4,15,1,0,0.5366,False,False,False,False,False
no_governance,0,True,2,0,1,4,15,1,0,0.5366,True,False,True,False,False
no_governance,1,True,2,0,2,4,15,1,0,0.5366,True,False,True,False,False
no_governance,2,True,2,0,2,4,15,1,0,0.5366,True,False,True,False,False
no_governance,3,True,2,0,2,4,15,1,0,0.5366,True,False,True,False,False
forced_transfer,0,True,3,0,2,1,1,1,0,0.85,True,False,True,False,False
forced_transfer,1,True,3,0,3,1,1,1,0,0.85,True,False,True,False,False
forced_transfer,2,True,3,0,3,1,1,1,0,0.85,True,False,True,False,False
forced_transfer,3,True,3,0,3,1,1,1,0,0.85,True,False,True,False,False
