Task,Mode,Avg Sim Calls,Avg Repeated Failures,Warm-Start Rate,Advice Consumption Rate
benchmark-ota2-v1-memory-ablation,no_memory,3.0,2.9,0.0,0.0
benchmark-ota2-v1-memory-ablation,episodic_retrieval_only,2.1,2.0,0.9,0.0
benchmark-ota2-v1-memory-ablation,episodic_plus_reflection,2.1,2.0,0.9,0.045966
benchmark-ota2-v1-memory-ablation,full_memory,2.1,1.9,0.9,0.091931
benchmark-folded_cascode-v1-memory-ablation,no_memory,3.0,2.9,0.0,0.0
benchmark-folded_cascode-v1-memory-ablation,episodic_retrieval_only,2.1,2.0,0.9,0.0
benchmark-folded_cascode-v1-memory-ablation,episodic_plus_reflection,2.1,2.0,0.9,0.045966
benchmark-folded_cascode-v1-memory-ablation,full_memory,2.1,1.7,0.9,0.091931
benchmark-ldo-v1-memory-ablation,no_memory,3.0,2.9,0.0,0.0
benchmark-ldo-v1-memory-ablation,episodic_retrieval_only,2.1,2.0,0.9,0.0
benchmark-ldo-v1-memory-ablation,episodic_plus_reflection,2.1,2.0,0.9,0.062632
benchmark-ldo-v1-memory-ablation,full_memory,2.1,2.0,0.9,0.125265
benchmark-bandgap-v1-memory-ablation,no_memory,1.0,0.9,0.0,0.0
benchmark-bandgap-v1-memory-ablation,episodic_retrieval_only,1.0,0.9,0.9,0.0
benchmark-bandgap-v1-memory-ablation,episodic_plus_reflection,1.0,0.9,0.9,0.062632
benchmark-bandgap-v1-memory-ablation,full_memory,1.0,0.9,0.9,0.125265
